Expansion Reference,Hatchery,Release Site,Migr. Year,Hatch. Release,Total PIT Release,PIT Release RAL,RAL Expansion,Row,PTAGIS RelSite,Random
2019CLEARC1,Clearwater Hat.,Clear Cr ,2019,"691,051","9,741","6,819",100.9,167,CLEARC,1
2019CLWHNF1,Clearwater Hat.,NF Clearwater,2019,"544,153","17,065","11,946",45.1,168,CLWHNF,1
2019CLWHNF1,Clearwater Hat.,REDP NF Clearwater,2019,"574,038","8,600","6,020",94.9,169,CLWHNF,1
2019SAWT1,Sawtooth,Weir,2019,"919,070","18,880","13,216",69.1,170,SAWT,1
2019PAHP1,Pahsimeroi,Ponds,2019,"733,083","21,221","14,855",48.9,171,PAHP,1
2019KOOS1,Kooskia ,Clear Cr,2019,"654,664","7,908","5,536",117.8,172,KOOS,1
2019YANKFK1,Sawtooth,Yankee Fork,2019,"94,366","2,473","1,731",54.1,173,YANKFK,1
2006KNOXB0,McCall,SFSR-Knox,2006,"1,094,264","51,895","34,489",1.0,2,KNOXB,0
2007KNOXB0,McCall,SFSR-Knox,2007,"1,087,170","51,726","34,534",1.0,3,KNOXB,0
2008KNOXB0,McCall,SFSR-Knox,2008,"1,060,540","51,678","36,239",1.0,4,KNOXB,0
2006RAPH0,Rapid River,Rapid R. Hat,2006,"2,530,528","96,975","34,537",1.0,5,RAPH,0
2007RAPH0,Rapid River,Rapid R. Hat,2007,"2,396,602","109,675","34,731",1.0,6,RAPH,0
2008RAPH0,Rapid River,Rapid R. Hat,2008,"2,493,719","117,587","102,074",1.0,7,RAPH,0
2006DWORNF0,Dworshak,NF-DHFH,2006,"1,007,738","92,548","34,490",1.0,8,DWORNF,0
